Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;21:39:02;0;0;0;27;1;274;0;0;0;1
OPEN;19/06/2025;21:39:32;0;0;0;31;1;324;0;0;0;1
OPEN;19/06/2025;21:40:02;0;0;59;0;1;309;0;0;0;1
OPEN;19/06/2025;21:40:32;0;0;100;0;1;289;0;0;0;1
OPEN;19/06/2025;21:41:02;0;0;80;0;1;287;0;0;0;1
OPEN;19/06/2025;21:41:32;0;0;30;0;1;311;0;0;0;1
OPEN;19/06/2025;21:42:02;0;0;0;35;1;291;0;0;0;1
OPEN;19/06/2025;21:42:32;0;0;0;18;1;316;0;0;0;1
OPEN;19/06/2025;21:43:02;0;0;71;0;1;281;0;0;0;1
OPEN;19/06/2025;21:43:32;0;0;100;0;1;283;0;0;0;1
OPEN;19/06/2025;21:44:02;0;0;75;0;1;323;0;0;0;1
OPEN;19/06/2025;21:44:32;0;0;19;0;1;306;0;0;0;1
OPEN;19/06/2025;21:45:02;0;0;0;40;1;265;0;0;0;1
OPEN;19/06/2025;21:45:32;0;0;0;9;1;292;0;0;0;1
OPEN;19/06/2025;21:46:02;0;0;80;0;1;300;0;0;0;1
OPEN;19/06/2025;21:46:32;0;0;96;0;1;265;0;0;0;1
OPEN;19/06/2025;21:47:02;0;0;63;0;1;286;0;0;0;1
OPEN;19/06/2025;21:47:32;0;0;8;0;1;298;0;0;0;1
OPEN;19/06/2025;21:48:02;0;0;0;40;1;265;0;0;0;1
OPEN;19/06/2025;21:48:32;0;0;25;0;1;301;0;0;0;1
OPEN;19/06/2025;21:49:02;0;0;92;0;1;310;0;0;0;1
OPEN;19/06/2025;21:49:32;0;0;88;0;1;305;0;0;0;1
OPEN;19/06/2025;21:50:02;0;0;45;0;1;309;0;0;0;1
OPEN;19/06/2025;21:50:32;0;0;0;22;1;274;0;0;0;1
OPEN;19/06/2025;21:51:02;0;0;0;31;1;300;0;0;0;1
OPEN;19/06/2025;21:51:32;0;0;59;0;1;302;0;0;0;1
OPEN;19/06/2025;21:52:02;0;0;96;0;1;277;0;0;0;1
OPEN;19/06/2025;21:52:32;0;0;80;0;1;295;0;0;0;1
OPEN;19/06/2025;21:53:02;0;0;27;0;1;313;0;0;0;1
OPEN;19/06/2025;21:53:32;0;0;0;35;1;279;0;0;0;1
OPEN;19/06/2025;21:54:02;0;0;0;9;1;322;0;0;0;1
OPEN;19/06/2025;21:54:32;0;0;80;0;1;259;0;0;0;1
OPEN;19/06/2025;21:55:02;0;0;96;0;1;276;0;0;0;1
OPEN;19/06/2025;21:55:32;0;0;67;0;1;323;0;0;0;1
OPEN;19/06/2025;21:56:02;0;0;12;0;1;332;0;0;0;1
OPEN;19/06/2025;21:56:32;0;0;0;44;1;305;0;0;0;1
OPEN;19/06/2025;21:57:02;0;0;34;0;1;315;0;0;0;1
OPEN;19/06/2025;21:57:32;0;0;96;0;1;325;0;0;0;1
OPEN;19/06/2025;21:58:02;0;0;92;0;1;325;0;0;0;1
OPEN;19/06/2025;21:58:32;0;0;45;0;1;311;0;0;0;1
OPEN;19/06/2025;21:59:02;0;0;0;14;1;268;0;0;0;1
OPEN;19/06/2025;21:59:32;0;0;0;35;1;284;0;0;0;1
OPEN;19/06/2025;22:00:02;0;0;59;0;1;321;0;0;0;1
OPEN;19/06/2025;22:00:32;0;0;96;0;1;287;0;0;0;1
OPEN;19/06/2025;22:01:02;0;0;80;0;1;301;0;0;0;1
OPEN;19/06/2025;22:01:32;0;0;30;0;1;287;0;0;0;1
OPEN;19/06/2025;22:02:02;0;0;0;27;1;313;0;0;0;1
OPEN;19/06/2025;22:02:32;0;0;0;31;1;278;0;0;0;1
OPEN;19/06/2025;22:03:03;0;0;75;0;1;301;0;0;0;1
OPEN;19/06/2025;22:03:33;0;0;100;0;1;296;0;0;0;1
OPEN;19/06/2025;22:04:03;0;0;80;0;1;280;0;0;0;1
OPEN;19/06/2025;22:04:33;0;0;19;0;1;285;0;0;0;1
OPEN;19/06/2025;22:05:03;0;0;0;35;1;296;0;0;0;1
